series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_dvd,my_storage,my_status,my_comments,my_times_watched,my_rewatch_value,my_tags,my_rewatching,my_rewatching_ep,update_on_import
36039,A.I.C.O.: Incarnation,ONA,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
39184,A3! Season Spring & Summer,TV,0,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32977,Aggressive Retsuko,TV,100,0,38,0000-00-00,0000-00-00,,7,,,Dropped,,0,,,0,0,0
31580,Ajin,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
29513,Aki no Kanade,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
22729,Aldnoah.Zero,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
22147,Amagi Brilliant Park,TV,13,0,13,0000-00-00,0000-00-00,,9,,,Completed,,0,,,0,0,0
35015,Ani ni Tsukeru Kusuri wa Nai!,TV,12,0,12,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
37924,Ani ni Tsukeru Kusuri wa Nai! 2,TV,24,0,24,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
27911,Anime de Wakaru Shinryounaika,ONA,20,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
24833,Ansatsu Kyoushitsu,TV,22,0,19,0000-00-00,0000-00-00,,0,,,Watching,,0,,,0,0,0
21995,Ao Haru Ride,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
1079,Armitage III,OVA,4,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
36214,Asagao to Kase-san.,OVA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
37171,Asobi Asobase,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38824,Baby I Love You Daze,ONA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
2251,Baccano!,TV,13,0,13,0000-00-00,0000-00-00,,10,,,Completed,,0,,,0,0,0
3901,Baccano! Specials,Special,3,0,3,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
35965,Baja no Studio,OVA,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
28805,Bakemono no Ko,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
5081,Bakemonogatari,TV,15,0,2,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
36649,Banana Fish,TV,24,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32664,Bananya,TV,13,0,13,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
579,Battle Programmer Shirase,TV,15,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
39195,Beastars,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32086,Blame! Movie,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
34618,Blend S,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
