anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year
11013,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,Youko x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,False,"Jan 13, 2012 to Mar 30, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,283882,2809,"Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand.",Winter 2012,Fridays at Unknown,"{'Adaptation': [{'mal_id': 17207, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17207/Inu_x_Boku_SS', 'title': 'Inu x Boku SS'}], 'Sequel': [{'mal_id': 13403, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13403/Inu_x_Boku_SS_Special', 'title': 'Inu x Boku SS Special'}]}","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen","['""Nirvana"" by MUCC']","['#1: ""Nirvana"" by MUCC (eps 1, 11-12)', '#2: ""Rakuen no Photograph (楽園のPhotograph)"" by Soushi Miketsukami (Yuichi Nakamura) (eps 2, 9)', '#3: ""Kimi wa (君は)"" by Ririchiyo Shirakiin (Rina Hidaka) (eps 3, 8)', '#4: ""one way"" by Banri Watanuki (Takuya Eguchi) & Zange Natsume (Mamoru Miyano) (ep 4)', '#5: ""SM Hantei Forum (SM判定フォーラム)"" by Kagerou Shoukiin (Tomokazu Sugita) (ep 5, 10)', '#6: ""sweets parade"" by Karuta Roromiya (Kana Hanazawa) (ep 6)', '#7: ""Taiyou to Tsuki (太陽と月)"" by Renshou Sorinozuka (Yoshimasa Hosoya) & Nobara Yukinokouji (Youko Hikasa) (ep 7)']",24.0,2012.0
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,The Inland Sea Bride,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2007 to Oct 1, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,204003,2579,,Spring 2007,Unknown,"{'Adaptation': [{'mal_id': 759, 'type': 'manga', 'url': 'https://myanimelist.net/manga/759/Seto_no_Hanayome', 'title': 'Seto no Hanayome'}], 'Sequel': [{'mal_id': 4163, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA', 'title': 'Seto no Hanayome OVA'}], 'Side story': [{'mal_id': 5199, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5199/Seto_no_Hanayome_Fan_Disc', 'title': 'Seto no Hanayome Fan Disc'}], 'Alternative version': [{'mal_id': 28385, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28385/Seto_no_Hanayome_Picture_Drama', 'title': 'Seto no Hanayome Picture Drama'}]}","TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen","['""Romantic summer"" by SUN&LUNAR']","['#1: ""Ashita e no Hikari (明日への光)"" by Asuka Hinoi (1-13, 26)', '#2: ""Dan Dan Dan"" by SUN&LUNAR (eps 14-25)']",24.0,2007.0
178,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,False,"May 20, 2003 to Nov 11, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,22778,122,,Spring 2003,Tuesdays at 22:00 (JST),"{'Adaptation': [{'mal_id': 956, 'type': 'manga', 'url': 'https://myanimelist.net/manga/956/Ultra_Maniac', 'title': 'Ultra Maniac'}], 'Alternative version': [{'mal_id': 179, 'type': 'anime', 'url': 'https://myanimelist.net/anime/179/Ultra_Maniac_OVA', 'title': 'Ultra Maniac OVA'}]}","WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo","['""Kagami no Naka"" by can/goo']","['""Hitotsu=Unmei Kyoudoutai"" by can/goo']",24.0,2003.0
853,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,False,"Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,538843,24072,,Spring 2006,Wednesdays at 00:50 (JST),"{'Adaptation': [{'mal_id': 30, 'type': 'manga', 'url': 'https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club', 'title': 'Ouran Koukou Host Club'}]}","VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo","['""Sakura Kiss"" by Chieko Kawabe']","['""Shissou"" by Last Alliance']",23.0,2006.0
7054,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,Class President is a Maid!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2010 to Sep 24, 2010","{'from': '2010-04-02', 'to': '2010-09-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.2,315130,314.0,71,531292,14436,,Spring 2010,Fridays at 01:55 (JST),"{'Adaptation': [{'mal_id': 2921, 'type': 'manga', 'url': 'https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama', 'title': 'Kaichou wa Maid-sama!'}], 'Side story': [{'mal_id': 9366, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9366/Kaichou_wa_Maid-sama__Omake_dayo', 'title': 'Kaichou wa Maid-sama!: Omake dayo!'}, {'mal_id': 10298, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10298/Kaichou_wa_Maid-sama__Goshujinsama_to_Asonjao♥', 'title': 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥'}]}","Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,"Comedy, Romance, School, Shoujo","['""My Secret"" by Saaya Mizuno (水野佐彩)']","['#1: ""Yokan (予感)"" by heidi. (eps 1-15)', '#2: ""∞ Loop (∞ループ)"" by heidi. (eps 16-26)']",24.0,2010.0
14227,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun",https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,TV,Manga,13,Finished Airing,False,"Oct 2, 2012 to Dec 25, 2012","{'from': '2012-10-02', 'to': '2012-12-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.71,281448,1093.0,88,482105,4064,,Fall 2012,Tuesdays at Unknown,"{'Adaptation': [{'mal_id': 13702, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13702/Tonari_no_Kaibutsu-kun', 'title': 'Tonari no Kaibutsu-kun'}], 'Alternative setting': [{'mal_id': 16866, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16866/Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun', 'title': 'Tonari no Kaibutsu-kun: Tonari no Gokudou-kun'}]}","TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha","NIS America, Inc.",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo","['""Q&A Recital! (Q&A リサイタル!)"" by Haruka Tomatsu']","['""White Wishes"" by 9nine']",24.0,2012.0
269,Bleach,Bleach,BLEACH - ブリーチ -,,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,TV,Manga,366,Finished Airing,False,"Oct 5, 2004 to Mar 27, 2012","{'from': '2004-10-05', 'to': '2012-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,7.9,433097,693.0,18,819284,40718,"Bleach adapts the first 54 volumes of Tite Kubo&#039;s manga series of the same name. In addition, 4 anime-original arcs were broadcast in-between and during the adaptations of original arcs of the manga.",Fall 2004,Tuesdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 12, 'type': 'manga', 'url': 'https://myanimelist.net/manga/12/Bleach', 'title': 'Bleach'}], 'Side story': [{'mal_id': 762, 'type': 'anime', 'url': 'https://myanimelist.net/anime/762/Bleach__Memories_in_the_Rain', 'title': 'Bleach: Memories in the Rain'}, {'mal_id': 834, 'type': 'anime', 'url': 'https://myanimelist.net/anime/834/Bleach__The_Sealed_Sword_Frenzy', 'title': 'Bleach: The Sealed Sword Frenzy'}, {'mal_id': 1686, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1686/Bleach_Movie_1__Memories_of_Nobody', 'title': 'Bleach Movie 1: Memories of Nobody'}, {'mal_id': 2889, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2889/Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru', 'title': 'Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru'}, {'mal_id': 4835, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4835/Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu', 'title': 'Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu'}, {'mal_id': 8247, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen', 'title': 'Bleach Movie 4: Jigoku-hen'}, {'mal_id': 35118, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35118/Bleach_Colorful__Gotei_Juusan_Yatai_Daisakusen', 'title': 'Bleach Colorful!: Gotei Juusan Yatai Daisakusen!'}]}","TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen","['#01: ""*~Asterisk~ (*～アスタリスク～)"" by Orange Range (eps 1-25)', '#02: ""D-tecnolife"" by UVERworld (eps 26-51)', '#03: ""Ichirin no Hana (一輪の花)"" by High and Mighty Color (eps 52-74)', '#04: ""Tonight, Tonight, Tonight"" by Beat Crusaders (eps 75-97)', '#05: ""Rolling star"" by YUI (eps 98-120)', '#06: ""ALONES"" by Aqua Timez (eps 121-143)', '#07: ""After Dark (アフターダーク)"" by Asian Kung-Fu Generation (eps 144-167)', '#08: ""CHU-BURA"" by Kelun (eps 168-189)', '#09: ""Velonica"" by Aqua Timez (eps 190-214)', '#10: ""Shoujo S (少女S)"" by Scandal (eps 215-242)', '#11: ""Anima Rossa (アニマロッサ)"" by Porno Graffitti (eps 243-265)', '#12: ""chAngE"" by miwa (eps 266-291)', '#13: ""Ranbu no Melody (乱舞のメロディ)"" by SID (eps 292-316)', '#14: ""BLUE"" by ViViD (eps 317-342)', '#15: ""HARUKAZE"" by Scandal (eps 343-366)']","['#01: ""Life is Like a Boat"" by Rie Fu (eps 1-13)', '#02: ""Thank You!! (サンキュー!!)"" by HOME MADE KAZOKU (eps 14-25)', '#03: ""Houkiboshi (ほうき星)"" by Younha (eps 26-38)', '#04: ""Happy People"" by Skoop on Somebody (eps 39-51)', '#05: ""Life"" by YUI (eps 52-63)', '#06: ""My Pace (マイペース)"" by SunSet Swish (eps 64-74)', '#07: ""Hanabi"" by Ikimonogakari (eps 75-86)', '#08: ""MOVIN!!"" by Takacha (eps 87-97)', '#09: ""Baby It&#039;s You"" by JUNE (eps 98-109)', '#10: ""Sakura Biyori (桜日和)"" by Mai Hoshimura (eps 110-120)', '#11: ""Tsumasaki (爪先)"" by Ore Ska Band (eps 121-131)', '#12: ""Daidai (橙)"" by chatmonchy (eps 132-143)', '#13: ""Tane wo Maku Hibi (種をまく日々)"" by Atari Kousuke (eps 144-154)', '#14: ""Kansha. (感謝.)"" by RSP a.k.a Real Street Project (eps 155-167)', '#15: ""Orange (オレンジ)"" by Lil&#039;B a.k.a MIE&AILA (eps 168-179)', '#16: ""Gallop (ギャロップ)"" by pe&#039;zmoku (eps 180-189)', '#17: ""Hitohira no Hanabira (ヒトヒラのハナビラ)"" by STEREOPONY (eps 190-201)', '#18: ""Sky Chord ~Otona ni Naru Kimi he~ (Sky chord~大人になる君へ~)"" by Tsuji Shion (eps 202-214)', '#19: ""Kimi wo Mamotte, Kimi wo Aishite (君を守って, 君を愛して)"" by Sambomaster (eps 215-229)', '#20: ""Mad Surfer"" by Kenichi Asai (eps 230-242)', '#21: ""Sakurabito (さくらびと)"" by SunSet Swish (eps 243-255)', '#22: ""Tabidatsu Kimi e (旅立つキミへ)"" by RSP (eps 256-265)', '#23: ""Stay Beautiful"" by Diggy-MO&#039; (eps 266-278)', '#24: ""Echoes"" by universe (eps 279-291)', '#25: ""Last Moment"" by SPYAIR (eps 292-303)', '#26: ""Song for..."" by ROOKiEZ is PUNK’D (eps 304-316)', '#27: ""Aoi Tori (アオイトリ)"" by fumika (eps 317-329)', '#28: ""Haruka Kanata (ハルカカナタ)"" by UNLIMITS (eps 330-342)', '#29: ""Re:pray"" by Aimer (eps 343-354)', '#30: ""Mask"" by Aqua Timez (eps 355-366)']",24.0,2004.0
59,Chobits,Chobits,ちょびっツ,,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,TV,Manga,26,Finished Airing,False,"Apr 3, 2002 to Sep 25, 2002","{'from': '2002-04-03', 'to': '2002-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.53,175388,1546.0,188,317641,3271,"The original episodes 9 and 18 are ""recap"" episodes, summarizing previous events. These episodes were re-numbered for the DVD release as episodes 8.5 and 16.5, respectively, and removed from their original sequence by being published together on the final DVD.(Source: Wikipedia)",Spring 2002,Wednesdays at 02:20 (JST),"{'Adaptation': [{'mal_id': 107, 'type': 'manga', 'url': 'https://myanimelist.net/manga/107/Chobits', 'title': 'Chobits'}], 'Side story': [{'mal_id': 596, 'type': 'anime', 'url': 'https://myanimelist.net/anime/596/Chobits__Chibits', 'title': 'Chobits: Chibits'}], 'Summary': [{'mal_id': 1311, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1311/Chobits_Recap', 'title': 'Chobits Recap'}]}","TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen","['""Let Me Be With You"" by ROUND TABLE feat. Nino']","['#1: ""Raison d&#039;Être"" by Rie Tanaka (eps 1-12)', '#2: ""Ningyohime"" by Rie Tanaka (eps 13-25)', '#3: ""Katakoto no Koi (duet ver.)"" by Rie Tanaka and Tomokazu Sugita (ep 26)']",24.0,2002.0
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,Reaching You,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,TV,Manga,25,Finished Airing,False,"Oct 7, 2009 to Mar 31, 2010","{'from': '2009-10-07', 'to': '2010-03-31'}",22 min. per ep.,PG-13 - Teens 13 or older,8.13,212710,400.0,111,417136,8041,,Fall 2009,Wednesdays at 00:59 (JST),"{'Adaptation': [{'mal_id': 3378, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3378/Kimi_ni_Todoke', 'title': 'Kimi ni Todoke'}], 'Sequel': [{'mal_id': 9656, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season', 'title': 'Kimi ni Todoke 2nd Season'}], 'Summary': [{'mal_id': 10152, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10152/Kimi_ni_Todoke_2nd_Season__Kataomoi', 'title': 'Kimi ni Todoke 2nd Season: Kataomoi'}]}","VAP, Nippon Television Network, Shueisha","NIS America, Inc.",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo","['""Kimi ni Todoke (きみにとどけ)"" by Tanizawa Tomofumi']","['""Kataomoi (片想い)"" by Chara']",22.0,2009.0
4224,Toradora!,Toradora!,とらドラ！,Tiger X Dragon,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,TV,Light novel,25,Finished Airing,False,"Oct 2, 2008 to Mar 26, 2009","{'from': '2008-10-02', 'to': '2009-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,8.39,557898,174.0,13,910373,35322,"Toradora! was selected as a recommended work by the awards jury of the 13th Japan Media Arts Festival in 2009.The light novel was also adapted into video games for PlayStation Portable, published by Namco Bandai Games in 2009.",Fall 2008,Thursdays at 01:20 (JST),"{'Adaptation': [{'mal_id': 7149, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7149/Toradora', 'title': 'Toradora!'}], 'Side story': [{'mal_id': 6127, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6127/Toradora__SOS', 'title': 'Toradora!: SOS!'}, {'mal_id': 11553, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11553/Toradora__Bentou_no_Gokui', 'title': 'Toradora!: Bentou no Gokui'}], 'Summary': [{'mal_id': 23701, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23701/Toradora_Recap', 'title': 'Toradora! Recap'}]}","Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music","NIS America, Inc.",J.C.Staff,"Slice of Life, Comedy, Romance, School","['#1: ""Pre-Parade (プレパレード)"" by Rie Kugimiya, Yui Horie, and Eri Kitamura (eps 1-16)', '#2: ""silky heart"" by Yui Horie (eps 17-24)']","['#1: ""Vanilla Salt (バニラソルト)"" by Yui Horie (eps 1-16)', '#2: ""Orange (オレンジ)"" by Rie Kugimiya, Yui Horie, and Eri Kitamura (eps 17-18, 20-25)', '#3: ""Holy Night (ホーリーナイト)"" by Rie Kugimiya and Eri Kitamura (ep 19)']",24.0,2008.0
