anime_id,pred_score,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year
16393,8.666666666666666,Norakuro-kun,,のらくろクン,Little Norakuro,https://myanimelist.cdn-dena.com/images/anime/12/44512.jpg,TV,Manga,50,Finished Airing,False,"Oct 4, 1987 to Oct 2, 1988","{'from': '1987-10-04', 'to': '1988-10-02'}",25 min. per ep.,G - All Ages,6.78,18,11524.0,11340,192,0,,Fall 1987,Unknown,"{'Adaptation': [{'mal_id': 27251, 'type': 'manga', 'url': 'https://myanimelist.net/manga/27251/Norakuro', 'title': 'Norakuro'}], 'Other': [{'mal_id': 4394, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4394/Norakuro_Gochou', 'title': 'Norakuro Gochou'}, {'mal_id': 4395, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4395/Norakuro_Nitouhei__Enshuu_no_Maki', 'title': 'Norakuro Nitouhei: Enshuu no Maki'}, {'mal_id': 5871, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5871/Norakuro_Nitouhei__Kyouren_no_Maki', 'title': 'Norakuro Nitouhei: Kyouren no Maki'}, {'mal_id': 23013, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23013/Norakuro', 'title': 'Norakuro'}, {'mal_id': 30018, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30018/Norakuro_Nitouhei', 'title': 'Norakuro Nitouhei'}]}","Yomiko Advertising, Fuji TV",,Studio Pierrot,"Comedy, Mystery","['#1: ""You! You! You!"" by BaBe (eps 1-32)', '#2: ""JUNK BOY"" by MEGU (eps 33-50)']","['#1: ""Hold Me!"" by BaBe (eps 1-32)', '#2: ""BE MY BOY!"" by MEGU (eps 33-50)']",25.0,1987.0
5477,8.545454545454545,Gozonji! Gekkou Kamen-kun,,ごぞんじ！月光仮面くん,"Moonlight Mask, The Familiar Moonlight Mask-kun, Little Moonlight Rider",https://myanimelist.cdn-dena.com/images/anime/9/11367.jpg,TV,Other,25,Finished Airing,False,"Oct 3, 1999 to Mar 26, 2000","{'from': '1999-10-03', 'to': '2000-03-26'}",25 min. per ep.,G - All Ages,6.36,44,10269.0,10752,255,0,,Fall 1999,Unknown,"{'Spin-off': [{'mal_id': 4332, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4332/Seigi_wo_Aisuru_Mono_Gekkou_Kamen', 'title': 'Seigi wo Aisuru Mono Gekkou Kamen'}]}",TV Tokyo,,"Actas, TMS Entertainment","Parody, Comedy, Sci-Fi","['""Gekkou Kamen wa Dare Deshou (月光仮面は誰でしょう)"" by COA']","['#1: ""Colourful (カラフル)"" by Cyber Nation Network', '#2: ""Yume no Chikara (夢のチカラ)"" by Rooky']",25.0,1999.0
8065,8.192386749104843,Karakuri Kengou Den Musashi Lord,"Musashi, the Samurai Lord",からくり剣豪伝ムサシロード,,https://myanimelist.cdn-dena.com/images/anime/6/19726.jpg,TV,Original,50,Finished Airing,False,"Oct 3, 1990 to Sep 25, 1991","{'from': '1990-10-03', 'to': '1991-09-25'}",30 min. per ep.,PG - Children,6.09,43,10774.0,10567,282,0,,Fall 1990,Unknown,[],Bandai,,Studio Pierrot,"Action, Adventure, Mecha","['""Musashi! Bugei Den!! (ムサシ! BUGEI伝!!)"" by Masato Shimon']","['#1: ""Tenamonda Jinsei (てなもんだ人生)"" by Aya Nozawa (野澤恵)', '#2: ""Naki Nagara Taberu to Oishikunai!! (泣きながら食べるとおいしくない!!)"" by Aya Nozawa (野澤恵)']",30.0,1990.0
23013,8.0,Norakuro,,のらくろ,,https://myanimelist.cdn-dena.com/images/anime/12/74987.jpg,TV,Manga,26,Finished Airing,False,"Oct 5, 1970 to Mar 29, 1971","{'from': '1970-10-05', 'to': '1971-03-29'}",30 min. per ep.,G - All Ages,5.67,18,11522.0,11649,169,0,,Fall 1970,Unknown,"{'Adaptation': [{'mal_id': 27251, 'type': 'manga', 'url': 'https://myanimelist.net/manga/27251/Norakuro', 'title': 'Norakuro'}], 'Other': [{'mal_id': 4394, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4394/Norakuro_Gochou', 'title': 'Norakuro Gochou'}, {'mal_id': 6850, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6850/Norakuro_Shoui__Nichiyoubi_no_Kaijiken', 'title': 'Norakuro Shoui: Nichiyoubi no Kaijiken'}, {'mal_id': 16393, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16393/Norakuro-kun', 'title': 'Norakuro-kun'}, {'mal_id': 30019, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30019/Norakuro_Ittouhei', 'title': 'Norakuro Ittouhei'}], 'Summary': [{'mal_id': 30305, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30305/Norakuro_Compilation_OVA', 'title': 'Norakuro Compilation OVA'}]}",Fuji TV,,Eiken,Comedy,[],[],30.0,1970.0
6067,7.93045157892174,Moeru! Oniisan,The Burning Wild Man,燃える！お兄さん,Moeru! Onii-san,https://myanimelist.cdn-dena.com/images/anime/11/13295.jpg,TV,Manga,24,Finished Airing,False,"Mar 14, 1988 to Sep 19, 1988","{'from': '1988-03-14', 'to': '1988-09-19'}",24 min. per ep.,PG-13 - Teens 13 or older,7.22,37,11302.0,10088,368,0,,Spring 1988,Unknown,"{'Adaptation': [{'mal_id': 97294, 'type': 'manga', 'url': 'https://myanimelist.net/manga/97294/Moeru_Oniisan', 'title': 'Moeru! Oniisan'}], 'Side story': [{'mal_id': 11959, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11959/Moeru_Oniisan_OVA', 'title': 'Moeru! Oniisan (OVA)'}]}",Toho,,Studio Pierrot,"Action, Adventure, Comedy","['""Dreamy Dreamer (ドリーミー・ドリーマー)"" by Yuuko Ishikawa']","['""Toki wo Oite (時を置いて)"" by Yuuko Ishikawa']",24.0,1988.0
9455,7.929667225259964,Ninpen Manmaru,,忍ペンまん丸,Manmaru the Ninja Penguin,https://myanimelist.cdn-dena.com/images/anime/4/66675.jpg,TV,Manga,30,Finished Airing,False,"Jul 5, 1997 to Mar 28, 1998","{'from': '1997-07-05', 'to': '1998-03-28'}",24 min. per ep.,G - All Ages,6.37,30,11493.0,11428,184,0,,Summer 1997,Saturdays at 18:00 (JST),[],,,Shin-Ei Animation,"Comedy, Samurai, Shounen","['""Bokutte Manmaru (ボクってまんまる)"" by Yumi Adachi']","['""Kagayakeru Hoshi (輝ける星)"" by Miho Komatsu']",24.0,1997.0
11533,7.8273281718498335,Momotarou Densetsu,,桃太郎伝説,"Momotaro Densetsu, Legend of Momotarou, Peach Boy Legend, The Legend of Peach Boy, Momoden",https://myanimelist.cdn-dena.com/images/anime/5/32171.jpg,TV,Game,51,Finished Airing,False,"Oct 2, 1989 to Oct 1, 1990","{'from': '1989-10-02', 'to': '1990-10-01'}",22 min. per ep.,G - All Ages,6.34,35,11311.0,10986,226,0,,Fall 1989,Mondays at 18:30 (JST),"{'Sequel': [{'mal_id': 33310, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33310/Peach_Command_Shin_Momotarou_Densetsu', 'title': 'Peach Command Shin Momotarou Densetsu'}], 'Other': [{'mal_id': 33789, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33789/Peeping_Life_x_Sanyo', 'title': 'Peeping Life x Sanyo'}]}",TV Tokyo,,Knack Productions,"Adventure, Comedy","['#1: ""Momo Henka de Ikou! (桃変化でいこう!)"" by Beach Boys (ピーチボーイズ)', '#2: ""Yume Sharibari (夢・しゃりばり)"" by Beach Boys']","['""Peach Boy Boogie Woogie (ピーチボーイ・ブギウギ)"" by Beach Boys']",22.0,1989.0
10815,7.797709082591575,UFO Senshi Dai Apolon 2,,UFO戦士ダイアポロンII,"UFO Warrior Dai Apolon 2, Shadow World 2",https://myanimelist.cdn-dena.com/images/anime/11/29869.jpg,TV,Original,21,Finished Airing,False,"Oct 7, 1976 to Feb 24, 1977","{'from': '1976-10-07', 'to': '1977-02-24'}",24 min. per ep.,PG-13 - Teens 13 or older,6.28,39,12558.0,10979,226,0,,Fall 1976,Saturdays at 19:00 (JST),"{'Prequel': [{'mal_id': 3361, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3361/UFO_Senshi_Dai_Apolon', 'title': 'UFO Senshi Dai Apolon'}]}",,,"Eiken, Studio Live","Action, Sci-Fi, Mecha","['""UFO Senshi Dai Apolon (UFO戦士ダイアポロン)"" by Shimon Masato']","['""UFO Shounen Dan no Uta (UFO少年団の歌)"" by Shimon Masato']",24.0,1976.0
6868,7.743490451741818,Wansa-kun,Little Wansa,ワンサくん,,https://myanimelist.cdn-dena.com/images/anime/9/56761.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 1973 to Sep 24, 1973","{'from': '1973-04-02', 'to': '1973-09-24'}",25 min. per ep.,PG - Children,6.18,39,12635.0,10485,296,0,,Spring 1973,Unknown,"{'Adaptation': [{'mal_id': 29617, 'type': 'manga', 'url': 'https://myanimelist.net/manga/29617/Wansa-kun', 'title': 'Wansa-kun'}], 'Summary': [{'mal_id': 21161, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21161/Wansa-kun_OVA', 'title': 'Wansa-kun OVA'}]}",,,Mushi Production,Comedy,[],[],25.0,1973.0
9781,7.676705468352729,Hyouga Senshi Gaislugger,,氷河戦士ガイスラッガー,"Glacier Warrior Gaislugger, Guyslagger, Guyslugger",https://myanimelist.cdn-dena.com/images/anime/10/27078.jpg,TV,Original,20,Finished Airing,False,"Apr 12, 1977 to Aug 30, 1977","{'from': '1977-04-12', 'to': '1977-08-30'}",30 min. per ep.,PG-13 - Teens 13 or older,6.11,35,10535.0,10828,246,0,,Spring 1977,Unknown,[],TV Asahi,,Toei Animation,"Action, Mecha, Sci-Fi","['""Hyouga Senshi Gaislugger (氷河戦士ガイスラッガー)"" by Ichirou Mizuki']","['""Warera no Inochi Solon Gou (われらの命ソロン号)"" by Columbia Yurikago Kai, Mitsuko Horie']",30.0,1977.0
5473,7.6,Tsuri Baka Nisshi,,釣りバカ日誌,"Fishing Fool Diary, Diary of a Fishing Fool",https://myanimelist.cdn-dena.com/images/anime/9/11276.jpg,TV,Manga,36,Finished Airing,False,"Nov 2, 2002 to Sep 13, 2003","{'from': '2002-11-02', 'to': '2003-09-13'}",24 min. per ep.,G - All Ages,6.36,28,12514.0,11090,214,0,,Fall 2002,Unknown,"{'Adaptation': [{'mal_id': 23849, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23849/Tsuribaka_Nisshi', 'title': 'Tsuribaka Nisshi'}]}",TV Asahi,,Toei Animation,"Slice of Life, Comedy",[],[],24.0,2002.0
3768,7.5806397225860795,Play Ball,Play Ball,プレイボール,Playball,https://myanimelist.cdn-dena.com/images/anime/12/6695.jpg,TV,Manga,13,Finished Airing,False,"Jul 5, 2005 to Sep 27, 2005","{'from': '2005-07-05', 'to': '2005-09-27'}",24 min. per ep.,G - All Ages,6.16,82,6907.0,9380,541,0,,Summer 2005,Unknown,"{'Adaptation': [{'mal_id': 72267, 'type': 'manga', 'url': 'https://myanimelist.net/manga/72267/Play_Ball', 'title': 'Play Ball'}], 'Sequel': [{'mal_id': 3769, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3769/Play_Ball_2nd', 'title': 'Play Ball 2nd'}], 'Prequel': [{'mal_id': 9905, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9905/Captain_TV', 'title': 'Captain (TV)'}]}",Magic Bus,,Eiken,"Action, Sports, Shounen","['\t#2: ""Kimi wa Nani ka ga Dekiru~Play Ball 2006~"" by Tokyo 60Watts', '#1: ""Kimi wa nanika ga dekiru~Play Ball 2002~"" by The Loose Dogs']","['\t#2: ""Summertime Blues"" by Tokyo 60Watts', '#1: ""Rainbow"" by The Loose Dogs']",24.0,2005.0
3672,7.57408020113422,Tottemo! Luckyman,,とっても！ラッキーマン,,https://myanimelist.cdn-dena.com/images/anime/4/6393.jpg,TV,Manga,50,Finished Airing,False,"Apr 6, 1994 to Mar 23, 1995","{'from': '1994-04-06', 'to': '1995-03-23'}",24 min. per ep.,G - All Ages,6.83,159,4215.0,9060,655,5,,Spring 1994,Thursdays at 19:00 (JST),"{'Adaptation': [{'mal_id': 8930, 'type': 'manga', 'url': 'https://myanimelist.net/manga/8930/Tottemo_Luckyman', 'title': 'Tottemo! Luckyman'}]}","TV Tokyo, Yomiko Advertising, TV Tokyo Music",,Studio Pierrot,"Comedy, Super Power, Sci-Fi, Shounen","['""Luckyman no Uta (ラッキーマンの歌)"" by Aki Yashiro']","['#1: ""Koi wa Buuga (恋はブーガ)"" by Aki Yashiro (eps 1-49)', '#2: ""Luckyman no Uta (ラッキーマンの歌)"" by Aki Yashiro (ep 50)']",24.0,1994.0
3276,7.566443878875141,Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,,キン肉マン 逆襲！宇宙かくれ超人,Kinnikuman: Counterattack! Hidden Space Superman,https://myanimelist.cdn-dena.com/images/anime/2/70113.jpg,Movie,Manga,1,Finished Airing,False,"Jul 13, 1985","{'from': '1985-07-13', 'to': '1985-07-13'}",39 min.,PG-13 - Teens 13 or older,6.3,77,6397.0,9924,401,0,"Counterattack! The Underground Space Choujin is the fourth theatrical film based on the anime series Kinnikuman. It was released in Japan on July 13, 1985 alongside Dr. Slump and Arale-chan: Hoyoyo! Dream Capital Mecha Police, Captain Tsubasa: Great Europe Play-Off, and Dengeki Sentai Changeman: Shuttle Base Showdown. It is set after the Golden Mask Arc.It is the first film to feature the character Geronimo and the last film where Eiji Kanie supplies the voice of Ramenman. It is also the shortest film of the series. It is based on theKinnikuman special chapter Robin Memo (ロビン･メモ).(Source: Kinnikuman Wiki)",,,"{'Adaptation': [{'mal_id': 2845, 'type': 'manga', 'url': 'https://myanimelist.net/manga/2845/Kinnikuman', 'title': 'Kinnikuman'}], 'Prequel': [{'mal_id': 3275, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3275/Kinnikuman__Seigi_Choujin_vs_Kodai_Choujin', 'title': 'Kinnikuman: Seigi Choujin vs. Kodai Choujin'}], 'Sequel': [{'mal_id': 3277, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3277/Kinnikuman__Haresugata_Seigi_Choujin', 'title': 'Kinnikuman: Haresugata! Seigi Choujin'}]}",,,Toei Animation,"Action, Comedy, Sports, Shounen","['""Honoo no Kinnikuman (炎のキン肉マン)"" by Akira Kushida, Koorogi &#039;73 (Chorus)']","['""Kinnikuman Ondo (キン肉マン音頭)"" by Akira Kamiya, Minori Matsushima, Koorogi &#039;73 (Chorus)']",39.0,1985.0
3879,7.559209175576433,Paris no Isabelle,,巴里のイザベル,"Paris no Isabel, Isabelle of Paris, Isabell de Paris",https://myanimelist.cdn-dena.com/images/anime/7/64331.jpg,TV,Original,13,Finished Airing,False,"Apr 19, 1979 to Jul 12, 1979","{'from': '1979-04-19', 'to': '1979-07-12'}",25 min. per ep.,G - All Ages,6.22,60,6698.0,10279,333,0,,Spring 1979,Unknown,[],TV Tokyo,,DAX Production,"Historical, Drama","['""Fantaisie-Impromptu in C minor (幻想即興曲 ハ短調) by Frédéric Chopin']",[],25.0,1979.0
32832,7.533284358882117,Kaze no You ni,,風のように,,https://myanimelist.cdn-dena.com/images/anime/2/80842.jpg,Movie,Manga,1,Finished Airing,False,"Jul 9, 2016","{'from': '2016-07-09', 'to': '2016-07-09'}",40 min.,PG - Children,6.38,13,10805.0,8306,982,0,,,,[],Grooove,,Ekura Animal,"Drama, Slice of Life",[],[],40.0,2016.0
3808,7.5254047837900675,Futari Daka,Futari Daka,ふたり鷹,"Twin Hawks, A Full Throttle",https://myanimelist.cdn-dena.com/images/anime/2/59891.jpg,TV,Manga,36,Finished Airing,False,"Sep 20, 1984 to Jul 12, 1985","{'from': '1984-09-20', 'to': '1985-07-12'}",25 min. per ep.,G - All Ages,6.18,67,6826.0,10121,360,1,,Fall 1984,Unknown,"{'Adaptation': [{'mal_id': 23246, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23246/Futari-Daka', 'title': 'Futari-Daka'}]}",Fuji TV,,Kokusai Eigasha,"Cars, Sports, Shounen","['""Heartbreak Crossin&#039; (ハートブレイクCrossin&#039;)"" by Takanori Jinnai (陣内孝則)']","['""Sayonara wo Iwanaide Kure (サヨナラを言わないでくれ)"" by Takanori Jinnai (陣内孝則)']",25.0,1984.0
2040,7.5241695762648,Mahou no Angel Sweet Mint,,魔法のエンジェル スイートミント,Magical Angel Sweet Mint,https://myanimelist.cdn-dena.com/images/anime/4/26109.jpg,TV,Original,47,Finished Airing,False,"May 2, 1990 to Mar 27, 1991","{'from': '1990-05-02', 'to': '1991-03-27'}",23 min. per ep.,G - All Ages,6.48,129,5689.0,7832,1244,3,,Spring 1990,Wednesdays at 18:00 (JST),[],Youmex,,Production Reed,"Magic, Shoujo",['Fushigi no Kuni no Sweet Mint'],['Minto no Yume Ryokou'],23.0,1990.0
6428,7.517412955367377,Psychoarmor Govarian,,サイコアーマー ゴーバリアン,"Psycho Armor Govarian, Psycho Armor Gobarian",https://myanimelist.cdn-dena.com/images/anime/6/65997.jpg,TV,Original,26,Finished Airing,False,"Jul 6, 1983 to Dec 28, 1983","{'from': '1983-07-06', 'to': '1983-12-28'}",24 min. per ep.,R+ - Mild Nudity,6.41,79,5973.0,9554,492,0,,Summer 1983,Unknown,[],"TV Tokyo, Dynamic Planning",,Knack Productions,"Action, Mecha, Super Power, Sci-Fi","['""Kodoku no Tabiji ~Lonely Journey~ (孤独の旅路~LONELY JOURNEY~)"" by Neverland']","['""Lullaby (ララバイ)"" by Neverland']",24.0,1983.0
8832,7.50486445820031,Shounen Ashibe 2,,少年アシベ２,"Shonen Ashibe 2, Young Ashibe 2",https://myanimelist.cdn-dena.com/images/anime/4/24412.jpg,TV,4-koma manga,25,Finished Airing,False,"Oct 3, 1992 to Mar 27, 1993","{'from': '1992-10-03', 'to': '1993-03-27'}",25 min. per ep.,G - All Ages,5.22,32,12129.0,11065,215,0,,Fall 1992,Saturdays at 17:30 (JST),"{'Adaptation': [{'mal_id': 96207, 'type': 'manga', 'url': 'https://myanimelist.net/manga/96207/Shounen_Ashibe', 'title': 'Shounen Ashibe'}], 'Prequel': [{'mal_id': 8829, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8829/Shounen_Ashibe_TV', 'title': 'Shounen Ashibe (TV)'}], 'Alternative version': [{'mal_id': 32571, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32571/Shounen_Ashibe__Go_Go_Goma-chan', 'title': 'Shounen Ashibe: Go! Go! Goma-chan'}, {'mal_id': 34979, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34979/Shounen_Ashibe__Go_Go_Goma-chan_2', 'title': 'Shounen Ashibe: Go! Go! Goma-chan 2'}, {'mal_id': 37368, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37368/Shounen_Ashibe__Go_Go_Goma-chan_3', 'title': 'Shounen Ashibe: Go! Go! Goma-chan 3'}], 'Summary': [{'mal_id': 32884, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32884/Shounen_Ashibe_2__Ashibe_no_Kanashii_Yume', 'title': 'Shounen Ashibe 2: Ashibe no Kanashii Yume'}], 'Other': [{'mal_id': 33200, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33200/Shounen_Ashibe_Anzen_Kyouiku_Anime', 'title': 'Shounen Ashibe Anzen Kyouiku Anime'}]}",TBS,,Life Work,"Comedy, Slice of Life","['""Ai ni SUN Kyuu (愛にSUNキュー)"" by Hikaru Kusaka (日下 ひかる)']","['""Makasete! Chin Ton Shan &#039;93 (まかせて！チン・トン・シャン &#039;93)"" by ACB Family Band (ACB（アシベ）ファミリーバンド)']",25.0,1992.0
29910,7.504773465922626,Qin Shi Ming Yue 3D: Dianying Longteng Wanli,The Legend of Qin,秦时明月3D电影龙腾万里,"Qin Shi Ming Yue 3D Dianying Longteng Wanli, Qin&#039;s Moon: Soaring Dragon",https://myanimelist.cdn-dena.com/images/anime/3/71788.jpg,Movie,Novel,1,Finished Airing,False,"Aug 8, 2014","{'from': '2014-08-08', 'to': '2014-08-08'}",1 hr. 38 min.,PG-13 - Teens 13 or older,6.38,52,6092.0,9555,493,0,,,,"{'Sequel': [{'mal_id': 9806, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9806/Qin_Shi_Ming_Yue__Bai_Bu_Fei_Jian', 'title': 'Qin Shi Ming Yue: Bai Bu Fei Jian'}], 'Spin-off': [{'mal_id': 29935, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29935/Qin_Shi_Ming_Yue__Kong_Shan_Niao_Yu', 'title': 'Qin Shi Ming Yue: Kong Shan Niao Yu'}, {'mal_id': 29937, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29937/Qin_Shi_Ming_Yue_Zhi__Luosheng_Tangxia', 'title': 'Qin Shi Ming Yue Zhi: Luosheng Tangxia'}, {'mal_id': 33278, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33278/Qin_Shi_Ming_Yue_Tebie_Pian__Di_Zi_Jiang_Xi', 'title': 'Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi'}, {'mal_id': 36732, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36732/Qin_Shi_Ming_Yue__Tian_Xing_Jiu_Ge', 'title': 'Qin Shi Ming Yue: Tian Xing Jiu Ge'}]}",Enlight Pictures,,Sparkly Key Animation Studio,"Action, Historical, Martial Arts, Fantasy",[],[],98.0,2014.0
3935,7.500659470056676,Karakuri Kiden: Hiwou Senki,Hiwou War Chronicles,機巧奇傳　ヒヲウ戦記,"Clockwork Fighters: Hiwou&#039;s Wari, Hiwou&#039;s Windup Dolls Military Commentaries",https://myanimelist.cdn-dena.com/images/anime/8/7084.jpg,TV,Original,26,Finished Airing,False,"Oct 24, 2000 to May 1, 2001","{'from': '2000-10-24', 'to': '2001-05-01'}",25 min. per ep.,None,6.67,216,4893.0,8465,903,1,,Fall 2000,Tuesdays at 18:30 (JST),"{'Adaptation': [{'mal_id': 77043, 'type': 'manga', 'url': 'https://myanimelist.net/manga/77043/Karakuri_Kiden__Hiwou_Senki', 'title': 'Karakuri Kiden: Hiwou Senki'}]}",Bandai Visual,Bandai Entertainment,Bones,"Action, Adventure, Mecha, Historical","['""ヒヲウのテーマ (Hiwou no Theme)"" by Hiroshi Yamaguchi']","['""CROSSROAD"" by Kumiko Endou']",25.0,2000.0
5184,7.473781999857068,Negibouzu no Asatarou,,ねぎぼうずのあさたろう,,https://myanimelist.cdn-dena.com/images/anime/8/29843.jpg,TV,Picture book,48,Finished Airing,False,"Oct 12, 2008 to Sep 27, 2009","{'from': '2008-10-12', 'to': '2009-09-27'}",20 min. per ep.,None,6.36,11,11422.0,11372,188,0,,Fall 2008,Unknown,[],,,Toei Animation,"Adventure, Comedy, Historical","['""Sanjo! Pyurutto Asatarou"" by Koji Matsuhara']","['""Hoshi no Achira e"" by Saki Oshitani']",20.0,2008.0
